1	122.64
2	122.64
3	122.64
4	122.64
5	122.64
6	122.64
7	122.64
8	122.64
9	122.64
10	122.64
11	122.64
12	122.64
13	122.64
14	122.64
15	122.64
16	122.64
17	122.64
18	122.64
19	122.64
20	122.64
21	122.64
22	122.64
23	122.64
24	122.64
25	122.64
26	122.64
27	122.64
28	122.64
29	122.64
30	122.64
31	122.64
32	122.64
33	122.64
34	122.64
35	122.64
36	122.64
37	122.64
38	122.64
39	122.64
40	122.64
41	122.64
42	122.64
43	122.64
44	122.64
45	122.64
46	122.64
47	122.64
48	122.64
49	122.64
50	122.64
51	122.64
52	122.64
53	122.64
54	122.64
55	122.64
56	122.64
57	122.64
58	122.64
59	122.64
60	122.64
61	122.64
62	122.64
63	122.64
64	122.64
65	122.64
66	122.64
67	122.64
68	122.64
69	122.64
70	122.64
71	122.64
72	122.64
73	122.64
74	122.64
75	122.64
76	122.64
77	122.64
78	122.64
79	122.64
80	122.64
81	122.64
82	122.64
83	122.64
84	122.64
85	122.64
86	122.64
87	122.64
88	122.64
89	122.64
90	122.64
91	122.64
92	122.64
93	122.64
94	122.64
95	122.64
96	122.64
97	122.64
98	122.64
99	122.64
100	122.64
